valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,emotion
0.493,1921,0.0175,['Zay Gatsby'],0.527,205072,0.691,1,0MJZ4hh60zwsYleWWxT5yW,0.384,7,0.358,-7.298,1,Power Is Power,0,27-03-1921,0.0326,159.935,Angry
0.47,1921,0.766,['Mehmet Kemiksiz'],0.453,337607,0.559,0,107JTiqeqxj5P0ocypagMK,0.0104,9,0.213,-8.072,1,Eşin Var âşiyâ Var,1,1921,0.0329,156.077,Angry
0.275,1921,0.597,['Mehmet Kemiksiz'],0.508,124787,0.5,0,1zBcLIHAqpBlL8gAJ5Cxa7,4.49e-06,0,0.254,-7.805,1,Yâ Râb Bu Uğursuz Gecenin Yok mu Sabahı -,0,1921,0.0345,127.969,Angry
0.115,1921,0.896,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat'],0.476,544052,0.677,0,2xMpQnfWIgRFjzrRXOl4zT,0.644,4,0.4,-11.628,1,Gati Harjuna Mangsah,4,1921,0.108,116.572,Angry
0.406,1921,0.447,['THE GUY'],0.708,279171,0.544,1,4SU8RBlxrOtlHjkUxkpDCY,0.0375,0,0.0733,-8.124,1,Don't Run,0,11-09-1921,0.0316,120.0,Angry
0.138,1922,0.144,['Uli'],0.644,104400,0.684,0,598LlBn6jpEpVbLjmZPsYV,0.802,7,0.0847,-8.247,1,Graphite,0,22-02-1922,0.199,100.031,Angry
0.412,1922,0.474,['Uli'],0.651,172803,0.574,0,6MD9XSLD4VmVI5SFRPm6By,0.713,10,0.0597,-11.999,0,Car Loans,0,22-02-1922,0.104,99.878,Angry
0.272,1923,0.905,['FanChants: Navijači Radnički 1923'],0.406,117944,0.947,0,52rqxBsKzlyuWPkZDTryPJ,0.00225,11,0.821,-4.784,1,Ekipa Je Na Nogama,0,1923,0.282,129.659,Angry
0.276,1924,0.612,['Jailess'],0.755,150909,0.65,0,0DXeuoAUgY4kkFuC3AvhmE,0.000153,0,0.101,-7.107,1,Pelco y Trama,0,31-08-1924,0.42,90.951,Angry
0.451,1924,0.000847,['Lionel Hampton Orchestra'],0.339,326093,0.623,0,1spxOSeCG8DUa5pwK6EPvZ,0.0125,7,0.354,-13.184,1,How High the Moon,0,1924,0.0481,80.847,Angry
0.453,1924,0.00262,['Lionel Hampton Orchestra'],0.478,449480,0.601,0,39hHy2RE5bbkjweHBOwyi7,0.0125,7,0.413,-15.063,1,Mr. John,0,1924,0.0434,140.472,Angry
0.436,1924,0.0126,['Lionel Hampton Orchestra'],0.387,644027,0.715,0,3sRZN0JyaVNLH33y7n1ioN,0.623,7,0.227,-13.2,1,Flying Home,0,1924,0.118,129.754,Angry
0.495,1924,0.954,['Lionel Hampton Orchestra'],0.547,362587,0.568,0,4eNQvjOAqygtLY4i28x17x,0.356,1,0.199,-10.012,1,Stompin' at the Savoy - Mix Two,0,1924,0.0301,135.524,Angry
0.44,1924,0.996,['Francisco Canaro'],0.574,156587,0.524,0,5GHzONOO44agKZ0D1sUIoL,0.947,7,0.13,-10.125,1,La Maldita - Remasterizado,0,12-07-1924,0.105,127.607,Angry
0.497,1925,0.736,"['Tommy Dorsey', 'Jimmy Dorsey']",0.464,174400,0.867,0,0eqRYgft7ZKV9GJPbwNl35,0.543,0,0.386,-7.986,0,Dippermouth Blues (feat. Jimmy Dorsey),2,1925,0.135,119.664,Angry
0.162,1925,0.314,['Old Grape God'],0.678,822857,0.835,0,0lATdfQAizjfZqZdTdcbGp,0.00441,0,0.148,-11.909,1,Hella Often Freestyle,0,12-11-1925,0.264,140.005,Angry
